run_group,scale,test,case,completed_tasks,fct_mean_us,fct_max_us
standard_case01,standard,test01_tp_all_gather,case01_标准topo,72,79.194680,79.209935
standard_case01,standard,test02_cp_all_to_all,case01_标准topo,216,301.648622,310.993163
standard_case01,standard,test03_tp_reduce_scatter,case01_标准topo,72,360.799144,360.814899
standard_case01,standard,test04_tp_reduce_scatter,case01_标准topo,72,182.667296,182.683051
standard_case01,standard,test05_pp_send_recv,case01_标准topo,64,362.013431,362.584371
standard_case01,standard,test06_epxetp_all_to_all,case01_标准topo,504,1659.177984,1666.908336
standard_case01,standard,test07_etp_all_reduce,case01_标准topo,72,2155.327862,2155.343618
scale440,440,test09_dp_all_gather,case01_标准topo,6840,5.067877,11.261579
scale440,440,test09_dp_all_gather,case02_故障1topo_单链路lane,6840,5.035568,19.161712
scale440,440,test09_dp_all_gather,case03_故障2topo_单链路laport,6840,5.072870,11.257813
scale440,440,test09_dp_all_gather,case04_故障3topo_分布式多链路port,6840,5.049550,11.275743
scale440,440,test09_dp_all_gather,case05_故障4topo_分集中式多链路port,6840,5.193688,19.424555
scale440,440,test10_dp_reduce_scatter,case01_标准topo,6840,5.068969,11.307382
scale440,440,test10_dp_reduce_scatter,case02_故障1topo_单链路lane,6840,5.017088,31.500992
scale440,440,test10_dp_reduce_scatter,case03_故障2topo_单链路laport,6840,5.087390,11.844029
scale440,440,test10_dp_reduce_scatter,case04_故障3topo_分布式多链路port,6840,5.060559,11.789624
scale440,440,test10_dp_reduce_scatter,case05_故障4topo_分集中式多链路port,6840,5.159535,19.728786
scale220,220,test09_dp_all_gather,case01_标准topo,6840,8.726022,19.627444
scale220,220,test09_dp_all_gather,case02_故障1topo_单链路lane,6840,8.840637,41.030192
scale220,220,test09_dp_all_gather,case03_故障2topo_单链路laport,6840,8.770398,20.060209
scale220,220,test09_dp_all_gather,case04_故障3topo_分布式多链路port,6840,8.703550,20.074974
scale220,220,test09_dp_all_gather,case05_故障4topo_分集中式多链路port,6840,9.167568,38.182561
scale220,220,test10_dp_reduce_scatter,case01_标准topo,6840,8.767128,19.669678
scale220,220,test10_dp_reduce_scatter,case02_故障1topo_单链路lane,6840,8.815044,53.185172
scale220,220,test10_dp_reduce_scatter,case03_故障2topo_单链路laport,6840,8.774550,20.483129
scale220,220,test10_dp_reduce_scatter,case04_故障3topo_分布式多链路port,6840,8.736615,20.309718
scale220,220,test10_dp_reduce_scatter,case05_故障4topo_分集中式多链路port,6840,9.111641,39.322856
scale110,110,test09_dp_all_gather,case01_标准topo,6840,15.528142,36.526117
scale110,110,test09_dp_all_gather,case02_故障1topo_单链路lane,6840,15.958315,72.697110
scale110,110,test09_dp_all_gather,case03_故障2topo_单链路laport,6840,15.586772,39.904736
scale110,110,test09_dp_all_gather,case04_故障3topo_分布式多链路port,6840,15.545083,39.599087
scale110,110,test09_dp_all_gather,case05_故障4topo_分集中式多链路port,6840,16.682726,76.073000
scale110,110,test10_dp_reduce_scatter,case01_标准topo,6840,15.488102,36.549376
scale110,110,test10_dp_reduce_scatter,case02_故障1topo_单链路lane,6840,15.988740,88.874723
scale110,110,test10_dp_reduce_scatter,case03_故障2topo_单链路laport,6840,15.450771,40.287999
scale110,110,test10_dp_reduce_scatter,case04_故障3topo_分布式多链路port,6840,15.495495,40.192642
scale110,110,test10_dp_reduce_scatter,case05_故障4topo_分集中式多链路port,6840,16.532700,78.531465
scale10,10,test08_dp_reduce_scatter,case01_标准topo,6840,171.745231,427.622813
scale10,10,test08_dp_reduce_scatter,case02_故障1topo_单链路lane,6840,185.990472,932.174619
scale10,10,test08_dp_reduce_scatter,case03_故障2topo_单链路laport,6840,173.789114,489.717944
scale10,10,test08_dp_reduce_scatter,case04_故障3topo_分布式多链路port,6840,175.558311,486.456346
scale10,10,test08_dp_reduce_scatter,case05_故障4topo_分集中式多链路port,6840,189.258545,983.367475
scale10,10,test09_dp_all_gather,case01_标准topo,6840,146.046315,363.243012
scale10,10,test09_dp_all_gather,case02_故障1topo_单链路lane,6840,158.206792,757.116281
scale10,10,test09_dp_all_gather,case03_故障2topo_单链路laport,6840,148.419391,412.021977
scale10,10,test09_dp_all_gather,case04_故障3topo_分布式多链路port,6840,150.014510,416.117032
scale10,10,test09_dp_all_gather,case05_故障4topo_分集中式多链路port,6840,162.713202,799.305422
